Filter Type,Filter Order,Cutoff Frequency (Hz),Sampling Frequency (Hz),Ripple Factor,Stopband Attenuation (dB),Passband Ripple,Bandwidth (Hz),Phase Response (°),Attenuation Factor,Filter Design Method,Filter Coefficients
Elliptic,7,7.805982110476875,778.1574340296985,0.3787710246032415,91.96462515668743,0.8499266113160624,2.0027816671749403,-173.9165195461805,0.6826475624830717,Optimization,"[0.5755903534468317, 0.3730030493717865, 0.5633473412284218, 0.14966311755389272, 0.032770447038576456]"
Butterworth,3,0.1600378319844621,86.54073553363139,0.10208808172841038,43.012857898679734,0.13538789241497667,0.5735763416794325,-67.38070214396464,0.16014067486428527,Windowing,"[0.9849917298794209, 0.583007392605017, 0.7475181959758521, 0.6083841804968094, 0.617534505320861]"
Chebyshev Type I,4,2.908068592323655,384.29595520570246,0.19132316329648077,60.604641878788094,0.33676977228947186,1.0987489207145669,-19.3420523810901,0.2769714134125354,Chebyshev,"[0.9261233525642861, 0.920243025484024, 0.8218491313279349, 0.3058542122018918, 0.6464673255301538]"
Chebyshev Type II,7,6.093767011387783,572.747476780307,0.29452498539114513,75.50487938271245,0.6914477105155324,1.889631441910006,87.0413470368741,0.49456912600217223,Chebyshev,"[0.02570566580969258, 0.16442121083601158, 0.23880136332339874, 0.4159751124348692, 0.27016843703778737]"
Elliptic,8,7.8239790768069994,742.2437171350309,0.3905088866915027,89.42263202986797,0.7555499137693571,2.2864105110926376,9.124925793877992,0.7892141750859589,Chebyshev,"[0.43876268564744936, 0.7475541285560626, 0.5921753862173988, 0.34829117539728327, 0.5590887800008676]"
Chebyshev Type I,3,2.3427257696449004,373.2856173382569,0.23461828773678986,59.30910844737807,0.4925013079723991,1.034205088675898,-175.2541244986032,0.2356427021511752,Windowing,"[0.5600705386416092, 0.5505549389522622, 0.16697909112046028, 0.9489070357923879, 0.32057608114104885]"
Bessel,11,8.94674708095725,806.6601733178707,0.46733551830358344,95.10099030155084,0.9474670259739814,2.7240815679364596,93.24327774476973,0.8809733437949183,Chebyshev,"[0.970107461951506, 0.18372371977706636, 0.3713565988273666, 0.23309911851885323, 0.7362386665366419]"
Bessel,10,8.562857565497346,890.971687507702,0.4896448882523255,98.71963729366355,0.8582230629504237,2.9222044560457094,-30.47577373426978,0.8409215834834651,Optimization,"[0.6324788312004691, 0.8041251292564621, 0.0945935798568367, 0.35484925888751795, 0.7603030235540166]"
Chebyshev Type I,3,2.840521311923699,219.14814337584093,0.16975902347280816,63.30616179761165,0.3752301987242549,1.1569203542817883,-171.79583286493238,0.26015767948551616,Butterworth Approximation,"[0.581927778469175, 0.5914860240273271, 0.8144180942541208, 0.3748941195167337, 0.6751959923057372]"
Bessel,8,8.740414564433648,995.5880668593608,0.4556724786186672,96.28408948744423,0.9272394461572443,2.6550365635421187,151.71319993920895,0.9178224487822819,Butterworth Approximation,"[0.6582075434121731, 0.2234018651376526, 0.7113591181687166, 0.2716563391547806, 0.9247253749843002]"
Chebyshev Type II,7,5.498817102158412,405.78825415072,0.2796717613547038,75.45777052802526,0.5453672457600881,1.746844175358956,69.05082717385388,0.4287389417100116,Optimization,"[0.21844164985181025, 0.7199623476143469, 0.9228020390220858, 0.562914436760045, 0.7630303799712254]"
Elliptic,9,7.644180303784627,744.9521290151215,0.3717473315932503,91.82272853852359,0.7150612985380892,2.2378607822876306,95.23543915995344,0.7347946952186473,Elliptic,"[0.47697078704984963, 0.4836897152497942, 0.06941704638477841, 0.1729536573913515, 0.08684148383287271]"
Butterworth,4,0.6676896291276011,64.947381931539,0.1029765678492598,33.12519523513207,0.2692931679849163,0.736574935842688,-72.0075484437641,0.14687020527923839,Chebyshev,"[0.28471001497177495, 0.2555528289872737, 0.22646532697664734, 0.16054886663951395, 0.9354961212338131]"
Chebyshev Type II,7,5.365316585255579,562.631458303533,0.2637265089173437,76.25970824036395,0.5623630356813174,1.5385873296726669,63.58388399197694,0.5234196809373427,Chebyshev,"[0.18923322591885394, 0.024723001121125243, 0.016472302762883584, 0.3192993456587735, 0.7389632125901228]"
Chebyshev Type II,7,5.503030612562858,502.45907889286934,0.34698404018244244,84.03018749853474,0.6316117339022812,1.9755856379444885,129.4306039255083,0.5841940148953014,Butterworth Approximation,"[0.45847254461271125, 0.4583283001820265, 0.22208335984189043, 0.9547184172348651, 0.355049970056601]"
Elliptic,6,8.367707985448297,783.7285797335389,0.36224253636488907,91.80106327194,0.8447642550789187,2.320600892009607,146.78347144629208,0.607824656358155,Chebyshev,"[0.4125232485385568, 0.3426968234719304, 0.8660262239818731, 0.3491425068842615, 0.8395962075669917]"
Butterworth,4,0.6203769470223133,167.5495537610101,0.12189784251774859,36.52390281276794,0.13793239720667172,0.5895687763451198,-87.42412134350704,0.14341873201001537,Butterworth Approximation,"[0.44363235612547525, 0.12184618426471738, 0.9681858730695588, 0.6273020889744642, 0.5341854241964481]"
Chebyshev Type I,4,3.7617221593091683,336.9643921054064,0.15237548595444475,58.401421480943974,0.41928688407834996,1.3848711791299846,-4.530334653163152,0.3695356233276138,Butterworth Approximation,"[0.9947749357764536, 0.8676096770056012, 0.18152177875736808, 0.0038452496124716795, 0.6760608607646248]"
Elliptic,8,8.150843890369268,656.3237832089894,0.3877437307026869,92.61382071712427,0.8402876868364666,2.417502943321523,1.0392574232987215,0.7083142486308529,Optimization,"[0.977492617004434, 0.7000075790311148, 0.5508086826454258, 0.9335349408314617, 0.6763221322770638]"
Chebyshev Type I,6,4.733591551413989,311.1630787286585,0.1604077618479274,63.2613159225571,0.446446169403321,1.450310530263904,-8.769225703184105,0.3349272676092385,Butterworth Approximation,"[0.46674717192122794, 0.9288759308536307, 0.49145825165867185, 0.5048274189699036, 0.8532236026453233]"
Elliptic,6,7.610873747382752,643.897505877482,0.3659332489166468,90.59988322590723,0.7756316573768836,2.0229675806956346,-136.11461240198483,0.625936593922314,Windowing,"[0.7347854741780864, 0.17072836306373196, 0.08850074094716986, 0.48836296698938864, 0.9281269223692042]"
Bessel,9,8.5384164900004,949.7813780783968,0.4307990423740259,99.40170493007477,0.9270683632507245,2.621580221451267,-27.473055533978936,0.8950344924443853,Windowing,"[0.4310661829671436, 0.16656996501380028, 0.8081477844983902, 0.4436250884194963, 0.7612230212677483]"
Elliptic,5,7.424846362387683,772.09219582939,0.38441906151541105,91.7977717843558,0.7999696610329433,2.019648890353029,-151.6970799201083,0.65545858228376,Butterworth Approximation,"[0.4872983388982739, 0.9603842495526248, 0.19022623332710598, 0.060874141031350804, 0.5354562826438164]"
Elliptic,6,7.883011235155103,667.6915805883036,0.3718906072882696,94.71016951236544,0.8456807174109161,2.167560879960912,-117.62199112269965,0.606100242242843,Butterworth Approximation,"[0.7803151481358421, 0.8132651277846951, 0.2710483609599925, 0.7045327693114718, 0.8403061941364667]"
Butterworth,2,1.0830369134967175,62.98374134331044,0.1257573408146226,45.43318726070859,0.2144995339891707,0.5969644353967036,-17.306201890342834,0.14053348092856646,Chebyshev,"[0.3368224071027752, 0.39875214126145087, 0.3813786012287974, 0.4358982756862346, 0.36035800184780487]"
Chebyshev Type II,6,5.122560462735724,452.0179045751023,0.2556983534306975,73.34071390215699,0.6434343952154404,1.5441082615811617,55.05495073778024,0.5264335205819255,Butterworth Approximation,"[0.4091850080067362, 0.07198154528158218, 0.7158154406181807, 0.7647059507139472, 0.5238169035511808]"
Bessel,9,9.047370337290682,935.0929884233408,0.4453602881878233,98.21923690780012,0.9001017199165463,2.7684924066254744,-123.20959849135951,0.9283164086856432,Optimization,"[0.33538805244770764, 0.26448822323681276, 0.08445493084682532, 0.9562663787678934, 0.6615126711585055]"
Chebyshev Type II,4,5.095224194843322,518.3881972865532,0.31344551558012446,71.85320169158712,0.5598045071244088,1.5374056157055902,17.57459164003203,0.5521017516925288,Elliptic,"[0.2482359011825741, 0.9246630173223045, 0.9538128161039889, 0.5872991206458954, 0.7416477214167376]"
Chebyshev Type I,6,2.6543423678272893,219.11885088150106,0.16945458841133026,61.688806328041636,0.4440703403430809,1.3328704423394087,-123.33991614400362,0.20966349228380587,Chebyshev,"[0.5539849185941196, 0.16894054240736256, 0.3191815113111296, 0.44959647862722685, 0.6942970530368451]"
Bessel,8,9.71044577971627,815.535729185434,0.469379956632653,99.96867266855506,0.9978226554906632,2.5949113634305325,-109.53818129180263,0.9563339396765486,Chebyshev,"[0.20814462141572931, 0.6372348605721814, 0.16311204244988808, 0.711151350268587, 0.686320169374374]"
Bessel,11,8.579765209181868,814.7799893400709,0.4497791994549946,95.3561713769197,0.9768333543971808,2.5577120885699736,-163.67528649197106,0.9666892893080434,Windowing,"[0.3161930217236272, 0.6850444745661137, 0.9331244778167854, 0.9967079672184369, 0.05316055075194859]"
Chebyshev Type I,6,4.431709481136845,329.46484019590304,0.18893113851276624,59.18382997073762,0.4340208365573264,1.3041125951304524,-137.8967051081528,0.3224138765257238,Chebyshev,"[0.059362090679867974, 0.5105086832833926, 0.16562591166843776, 0.5720109259359357, 0.9183128728371961]"
Chebyshev Type I,5,4.420730716487258,249.4325630030746,0.18516412618788441,60.19975677534747,0.3464614244689577,1.2081168855369322,-8.957412969695326,0.3331499579279549,Chebyshev,"[0.10604272522983305, 0.3285357945799574, 0.13030732916474974, 0.7702430115568982, 0.8523333252645514]"
Elliptic,5,8.038890488218637,674.9688154109074,0.3838395263849918,92.57053230908173,0.7190900767015194,2.4237387844676967,167.96489573388533,0.7023030110098665,Butterworth Approximation,"[0.6880067400687696, 0.1766693247197374, 0.8369897833154815, 0.3364847736148173, 0.4898306531486287]"
Elliptic,7,7.413262993173894,701.8248731693968,0.38226364192992446,85.29922156325503,0.7681970861652297,2.3997584817117446,-93.15857224039429,0.7763036427634252,Butterworth Approximation,"[0.21465286037964348, 0.4006150222454752, 0.5828271310152829, 0.7661692608051842, 0.02393815522491949]"
Chebyshev Type II,7,6.2204735108510025,518.2815510899898,0.28879780768775565,83.96817675035223,0.674096225247533,1.619994388600651,179.70472382823584,0.523581280300575,Elliptic,"[0.7489843116795785, 0.6365953070720494, 0.8272802488990986, 0.1904182267168888, 0.5933186398270263]"
Bessel,11,8.7186262271895,849.9587488551986,0.4961890818267575,95.92061031765385,0.864209364759443,2.8265406440059544,-159.23830346063704,0.8936840050219006,Butterworth Approximation,"[0.37744451503583, 0.29388299040931865, 0.9178189994136063, 0.7581661575961037, 0.522900310014692]"
Chebyshev Type I,3,2.8184053878906203,272.5554714463357,0.15215996242901572,52.78980960379399,0.488975106624627,1.3428798683836345,-126.60599474998092,0.3202051503706192,Butterworth Approximation,"[0.3760784936139918, 0.47951303698724346, 0.16811778090240093, 0.04959477856351979, 0.285646942607262]"
Elliptic,5,7.199886798504478,727.4804681927681,0.35375841368331606,93.44796801132657,0.7483502118513046,2.2159041990553705,-149.5057098228445,0.7596295697275702,Chebyshev,"[0.9327678634986645, 0.03645123058099664, 0.877874682727722, 0.42988200549993316, 0.05474110350798955]"
Chebyshev Type II,5,6.700569801321233,583.2838044200362,0.25297553472553147,73.78397106747934,0.5992818372280307,1.8835774864000006,2.795757382765869,0.44675571272093956,Elliptic,"[0.3937106988499647, 0.12561972832187118, 0.926559295614515, 0.05922838028663058, 0.29807211113973364]"
Bessel,10,8.812967423007228,855.6820949212653,0.4073816196389748,99.939819459286,0.9188106357023018,2.8760157865054685,40.2157689539346,0.8899040472408907,Butterworth Approximation,"[0.4644910015576098, 0.9517116004438965, 0.9367866334160736, 0.8064987994932878, 0.5758635701409018]"
Elliptic,7,7.854887548058787,638.7595808530601,0.38580999456125653,92.11175578964165,0.7856234777148463,2.32873528244428,67.09585556579884,0.6757711090291117,Butterworth Approximation,"[0.9038611746734353, 0.81009236561688, 0.17528750542284344, 0.05846393808034245, 0.8284345837358953]"
Chebyshev Type II,4,6.120232650639185,542.903242932078,0.28152880733849495,73.29793416371506,0.6469568825301897,1.9139586191789442,135.27284508675746,0.5572415157439181,Optimization,"[0.1616061381606061, 0.41471922353036095, 0.4141156054530555, 0.012659284148984984, 0.5224100194797342]"
Elliptic,9,7.4924222223751915,648.31982278455,0.3980532463328155,88.16893245131025,0.7039157667438705,2.206918169144052,8.226264933652146,0.6721302261106223,Butterworth Approximation,"[0.8625465892678273, 0.08341405197643281, 0.8882697533653886, 0.29949434087269, 0.17752535009042814]"
Chebyshev Type II,5,5.496506689248021,442.7566567603863,0.2626842705222341,76.06415312439393,0.6017022661630724,1.6998668923454812,129.1185873063159,0.5048070541241939,Butterworth Approximation,"[0.8458007751242358, 0.5965481785189292, 0.07205369095381631, 0.3063666125340109, 0.7484993948022799]"
Bessel,9,8.687095828853804,816.2899088691031,0.4159506745739697,96.0665687811915,0.9450342005718416,2.5547201499651226,69.44183429507086,0.8419327793675245,Butterworth Approximation,"[0.9696518794647362, 0.4009826023963191, 0.6993925364278664, 0.7486599857507192, 0.08336444641383445]"
Elliptic,7,7.692765933657494,620.3348391922292,0.3663741542846231,91.30326982750495,0.7249501085342608,2.265893865399437,99.62451794938681,0.748696955929581,Optimization,"[0.7970841871350409, 0.20296456257351514, 0.47589891778107096, 0.445535510396076, 0.3364917382866106]"
Chebyshev Type I,4,4.4689309885736055,228.88110318663675,0.18791663225929192,65.96060065573775,0.39851728532257014,1.1197055445930484,-103.43385490915219,0.36537370114324136,Windowing,"[0.11805455870310155, 0.7857704159637656, 0.5612130191222143, 0.6101549206686512, 0.17692785231907415]"
Bessel,11,8.704061204151275,906.4898588584169,0.4095980493338393,95.47171694255609,0.9270645186571087,2.8237799683310696,34.79248770077956,0.84372577975942,Butterworth Approximation,"[0.221841410988046, 0.681082839470981, 0.6480003383821075, 0.05438070415281038, 0.8240931754426605]"
Chebyshev Type II,5,6.708390566194701,531.3084077812223,0.25437054321532315,77.0610952695477,0.5049488290046382,1.637867890001138,35.09682032414929,0.5697832308095937,Optimization,"[0.6903340143348241, 0.9880740790113931, 0.4678599997390597, 0.3231784087573174, 0.17381310017762075]"
Chebyshev Type I,4,2.327961163348043,217.60178958074533,0.2206417796867418,66.466831566785,0.48590795494377736,1.2403938760919058,-3.9667857594534155,0.2522278606062993,Windowing,"[0.6707221934006671, 0.8461974082413884, 0.03568320669459257, 0.22284880580857847, 0.985293937139088]"
Chebyshev Type II,6,6.355447916662844,458.3453978546947,0.25683592564676505,82.89666774376558,0.6167499072908212,1.747668938581327,58.80128742572676,0.4227236216780808,Chebyshev,"[0.8353713607393348, 0.8967563610160972, 0.4162514290817807, 0.9080372605566892, 0.8458580719032824]"
Elliptic,7,7.142952875757293,676.6777154579644,0.35161636518480954,91.90394692942276,0.7176916326124434,2.178739579071419,-26.5470749830844,0.7876017912088897,Chebyshev,"[0.3942616256657736, 0.6870495579416244, 0.47551680073751357, 0.7117844971198254, 0.9871661563964335]"
Butterworth,2,1.2667911317557539,92.35897354853049,0.11490981431626082,35.49555300104264,0.1181034016469174,0.6743268367634778,-41.55984856974987,0.1970520102040132,Elliptic,"[0.7775798117135071, 0.6299932521208951, 0.30804494205740796, 0.2960396086670586, 0.6570534027037704]"
Chebyshev Type II,4,6.435530809607497,473.9439281060739,0.2746175514010166,75.14915059413909,0.6200825498424207,1.8305081705767132,122.96552975909755,0.42647210027543664,Windowing,"[0.38175751741091957, 0.6564063851692908, 0.6491648694746607, 0.6072874645174869, 0.36033951936383424]"
Chebyshev Type I,4,3.456040998578244,208.82099682765755,0.1882354464410315,50.977978835070594,0.4473474864983846,1.2150956431129194,-28.436332268134436,0.2131552772773271,Chebyshev,"[0.05542985997123295, 0.8738122325531812, 0.8727084243443384, 0.36583137569978563, 0.05907734764105299]"
Chebyshev Type II,6,6.830392742899075,507.72557379221047,0.34694958488138855,81.24379757331707,0.6051884902143917,1.528720120350271,159.31386163388004,0.5485404121297298,Elliptic,"[0.0929052744978841, 0.2362850593189737, 0.3609612988121724, 0.7890578989849405, 0.16388294720934005]"
Bessel,8,8.970421773996446,894.8572893612778,0.45799189866648476,97.52775726709184,0.8963082852955996,2.9031664092740543,-53.62432124823735,0.9645682402354905,Chebyshev,"[0.669953241690337, 0.13497389608035315, 0.21371376194561664, 0.7186595887072388, 0.6103054917037558]"
Elliptic,9,7.0530067018480285,656.9437654147291,0.37801805891950846,88.76416411762628,0.7710468077082248,2.2651937433157805,18.551570606326294,0.6460214409487268,Optimization,"[0.05989010233781722, 0.18122107416149524, 0.9619402513839708, 0.03677052280981219, 0.43472515754084495]"
Elliptic,5,8.085369049743944,654.16373656725,0.3586164639037969,88.63553126313639,0.8487395674285436,2.011169345559365,115.67610166215098,0.7614780877984738,Elliptic,"[0.82706977989539, 0.09842001644871956, 0.2839453456588258, 0.15120144908407118, 0.870537213497156]"
Elliptic,8,8.28021110407065,783.9540609305591,0.38374614600520973,91.09711047582745,0.7161226730071886,2.007489055385993,14.195628828507466,0.627648893623303,Optimization,"[0.2532250773694036, 0.8498343423586315, 0.9474891893715881, 0.20820973754265448, 0.4252324306539138]"
Chebyshev Type II,7,6.385184655886677,448.8884758811954,0.25532054726146963,79.0336301424035,0.504492528426464,1.8783724711230019,176.5987640760448,0.447632496063079,Elliptic,"[0.13545014063162708, 0.039778216094463414, 0.5223011429607313, 0.8485428046822829, 0.6267472375773173]"
Elliptic,8,7.141911221378387,724.5760300976007,0.379003230980132,85.87395169687517,0.7775167846206401,2.4885213354029188,-122.69726225564239,0.6126585048002313,Windowing,"[0.2475696475432314, 0.3868496775420457, 0.3826360139741215, 0.6194555879300467, 0.6718859500026174]"
Chebyshev Type I,6,2.537625652260666,397.3928278095171,0.2235904979997846,55.03346288709592,0.30881482162727175,1.1195320491596885,-178.1668813595806,0.2975100979430967,Elliptic,"[0.3696662175288413, 0.36397014971578656, 0.5491705145151681, 0.7543964753606586, 0.9480480721077259]"
Bessel,9,9.336292673711077,958.4529660448796,0.4377766023293157,98.52027162745085,0.9824323730651612,2.947072541494889,61.776599076922906,0.9321539853005671,Butterworth Approximation,"[0.86074190082017, 0.2964326273120106, 0.861995862496371, 0.9256011619239277, 0.07454260028791404]"
Chebyshev Type II,4,6.695283707814357,431.63170878489694,0.29015600788436513,72.31526443655389,0.6540233983733047,1.736737280864752,176.1999230821415,0.5846532281893304,Elliptic,"[0.6327557026515466, 0.16743469016611434, 0.18140027522137403, 0.28910152446151016, 0.226187117849449]"
Bessel,10,9.172668920336694,845.2281104486907,0.49930997866291954,97.76282832884134,0.9231832126319244,2.577375933236869,-128.304456705345,0.8105968003240737,Elliptic,"[0.3378340760766477, 0.2036229134958285, 0.2431950381524164, 0.8332120997587369, 0.3313316122151314]"
Chebyshev Type I,6,3.653712655146031,211.5644513677374,0.2296942754291006,65.99428259579655,0.46578850883865125,1.1343076409654245,-156.1600772112639,0.22876065827054784,Butterworth Approximation,"[0.30032335475075433, 0.5004715847986867, 0.14579422924180185, 0.22060267397020106, 0.16814170712361853]"
Elliptic,5,7.023520441508796,653.1705692959356,0.36513606338290705,87.87379745716763,0.7624378424195201,2.478654967507397,81.5756085710052,0.7258082346346317,Butterworth Approximation,"[0.10068215651665191, 0.34491562551614374, 0.9765755122711784, 0.38959399110173076, 0.5236071750281686]"
Chebyshev Type I,6,4.001598559743469,364.23733162506795,0.17292617461955628,68.0201257727716,0.3468517932158605,1.4571306199996987,-76.69228955826401,0.26001803171018806,Windowing,"[0.4948879149193893, 0.919721335925006, 0.08321647103986451, 0.4544607645112303, 0.033409995257275726]"
Elliptic,8,7.048483082582384,624.3002372899589,0.37901605773356495,94.99406643904773,0.826612306990172,2.0866238378055493,-171.1339085904863,0.7080584332531432,Chebyshev,"[0.013945936219855848, 0.8956153116328435, 0.6882035757237964, 0.2363449921531975, 0.17326042514101703]"
Chebyshev Type I,6,4.737827121503722,388.65083508920765,0.2322731521799708,66.85502435822701,0.4336819851394479,1.4669316107975077,-109.11835872240789,0.36377561086495497,Chebyshev,"[0.688494427010644, 0.8388061217538544, 0.1989150900589005, 0.17879072893965886, 0.7312672399397018]"
Chebyshev Type I,5,2.6039779486101002,238.81615358702788,0.18242721507994336,60.091247846610536,0.4639798916836701,1.2002742222669007,-24.32080709039016,0.36827725822136864,Elliptic,"[0.9581662826265961, 0.36686328042447347, 0.2351149498743761, 0.2037844447093321, 0.5765593758981046]"
Chebyshev Type II,7,6.253988012705892,478.15907714475156,0.2570919671926082,78.17464710953482,0.5668134974562422,1.7761448916213283,13.899229911837176,0.5354343356955676,Butterworth Approximation,"[0.6599419057962107, 0.33914010153728813, 0.3676595881378859, 0.4085002335379212, 0.6531094368473457]"
Chebyshev Type I,3,2.4631571889707073,224.8757332300324,0.16946271976463553,68.89196807733617,0.34154881166648393,1.4142415233707815,-42.60911675030181,0.22340057923022774,Chebyshev,"[0.26032228005851077, 0.7515495246791037, 0.11750158272304168, 0.7161399949984885, 0.0669039913529208]"
Bessel,8,9.476676851108667,953.713998183625,0.43045488178710517,99.54308620611988,0.9170239594716366,2.532642863230633,-25.249067052159575,0.9083504838257772,Chebyshev,"[0.4530968414142532, 0.44085250231515916, 0.7183391163640285, 0.0744568915776943, 0.12601866366083525]"
Chebyshev Type I,5,4.860249576684345,301.90570918094693,0.21247868766912542,56.066353855355395,0.44434958767005905,1.0894287051973244,-6.333377824473615,0.23205246514951805,Butterworth Approximation,"[0.8698715743738616, 0.8924006418996363, 0.07104724332029955, 0.3675509704724671, 0.421374233235037]"
Elliptic,6,7.942764698032354,789.6204020182536,0.38204082980181864,88.857013144704,0.8342055091077916,2.2249561191162694,-160.67558675539215,0.6344664946621724,Chebyshev,"[0.6742803025232694, 0.8435972917628293, 0.6787712383293953, 0.816198589951287, 0.9920814333895286]"
Elliptic,9,8.293034711817963,659.5953059943195,0.3924711146863303,92.84042929360294,0.707622424363772,2.3702033184328197,-38.44148029773618,0.719102922076144,Butterworth Approximation,"[0.7727316219164905, 0.019869531227167725, 0.008567189274966469, 0.2192664272692797, 0.338392491251047]"
Chebyshev Type I,6,3.287293995667955,271.7543203249996,0.1867494557524482,57.101615663761805,0.4177557894425203,1.2122941425309608,-8.437251931976789,0.3589805631262611,Elliptic,"[0.001352241422359568, 0.8225064704505659, 0.44324787510155417, 0.16842280527906772, 0.9908175724477378]"
Elliptic,6,8.094070584357244,672.0135769035243,0.3577273815529544,90.52942317511607,0.7109859059861925,2.2761889740051227,87.48705291188361,0.774805145505173,Windowing,"[0.9445015001640286, 0.025452731048312582, 0.04681622602491953, 0.9433320105164025, 0.3287616074834091]"
Chebyshev Type II,7,5.4316941584222445,451.0652638856944,0.3462069550705895,81.99696892528624,0.6410370382672835,1.9748174948878965,24.0109508080415,0.44672153388924046,Optimization,"[0.9094885439066739, 0.4270707373786239, 0.17418634914364184, 0.5297736819255379, 0.06372692924729584]"
Bessel,10,9.654066518889621,888.1923003028422,0.44320057353324693,95.43684206769775,0.9686522007175188,2.6368399404627425,147.93636390448796,0.9108987238112392,Chebyshev,"[0.9989124797785728, 0.8739908165560978, 0.15620169118044058, 0.7402764355746244, 0.7485092380868471]"
Chebyshev Type I,3,3.753005183828911,369.5528497098535,0.1595226782460979,52.72932487115197,0.4303580282248209,1.0866144127149755,-82.56969263970835,0.38740769050943,Butterworth Approximation,"[0.38028262203296304, 0.26571606187555785, 0.20904384304527956, 0.9133071792893807, 0.00887628447456712]"
Bessel,8,8.581429608276864,952.0147640391712,0.4477662758434292,97.47378254029387,0.8871729531729919,2.679695431745964,-134.05208985485902,0.8811383369339011,Butterworth Approximation,"[0.02584661612636796, 0.5357447878087571, 0.9693422619630803, 0.40712816926028683, 0.016077508167228527]"
Chebyshev Type I,3,4.4453075913672535,246.38571380946533,0.1949515993793293,68.24548242005243,0.3653298198741257,1.1741433603192422,-48.58429109217761,0.2964690942520588,Butterworth Approximation,"[0.003583586512458936, 0.7688323913363819, 0.6881690154401278, 0.7962100175152806, 0.32325657503066263]"
Elliptic,6,8.414420398635613,778.2343265652329,0.3825632665743346,93.6840464098559,0.7047630129017768,2.041421290141456,129.72890242429906,0.6220460827880337,Optimization,"[0.6122078879435507, 0.34923407449586163, 0.971718837215527, 0.1521575073172171, 0.5101714152192399]"
Butterworth,4,1.1552133676847685,102.33597021062712,0.13538652168792292,40.91998052879402,0.2701904117847922,0.5693916804161492,-26.46038435612133,0.17250404950085402,Chebyshev,"[0.3430681545751012, 0.3943688479975913, 0.032299606887031374, 0.23220834580724814, 0.7900040503090234]"
Chebyshev Type I,4,3.8709252786810997,209.95959449274096,0.2032545953067801,64.66786850772341,0.3141610738974259,1.3088929915855902,-116.79380186232206,0.38982427411232057,Elliptic,"[0.01147128327319924, 0.4798426568426065, 0.18405890305275308, 0.2468790652860452, 0.1082080124756204]"
Bessel,8,8.719977147741684,938.7196620784449,0.43636987092296886,97.39072754987426,0.9620109101202512,2.561688727918056,-169.80480275335165,0.9418977581397856,Elliptic,"[0.07885060120451381, 0.5965106135000717, 0.48501249482404307, 0.39120540199044684, 0.8406911717969938]"
